N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg,avg_by_Должность
17,Software Engineer,JavaScript,,4,1,2875,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,24,Высшее,НаУКМА,False,продвинутый,Другое,12/06/2017 13:06:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,1.0,2875,,DEV,1883.371034198599,1678.630073800738
18,Junior Software Engineer,C#/.NET,,1,1,574,274,Киев,до 10 человек,Стартап,мужской,23,Высшее,НАУ,False,продвинутый,"Gamedev,Другое",12/06/2017 13:07:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,574,,DEV,1883.371034198599,605.65859375
19,Senior Software Engineer,C++,,4,0.5,3300,600,Киев,до 1000 человек,Аутсорсинговая,мужской,22,Высшее,КНУ им. Шевченко,True,выше среднего,"Desktop Applications,Embedded",12/06/2017 13:07:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,3300,,DEV,1883.371034198599,3243.2009259259257
21,Software Engineer,Perl,,3,1,900,200,Киев,до 50 человек,Аутсорсинговая,мужской,40,Высшее,Другой вуз,False,средний,Desktop Applications,12/06/2017 13:07:19,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,3.0,1.0,900,,DEV,1883.371034198599,1678.630073800738
25,Senior Software Engineer,Swift,,6,1,2800,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,31,Высшее,ВНУ им. Даля,False,выше среднего,iOS,12/06/2017 13:07:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.21 (KHTML, like Gecko) Version/11.0 Safari/604.1.21",6.0,1.0,2800,,DEV,1883.371034198599,3243.2009259259257
26,Senior Software Engineer,JavaScript,,6,1,3000,0,Киев,до 10 человек,Продуктовая,мужской,26,Незаконченное высшее,НаУКМА,False,продвинутый,"Веб-разработка,Корпоративные системы",12/06/2017 13:07:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,1.0,3000,,DEV,1883.371034198599,3243.2009259259257
27,Senior Software Engineer,Ruby/Rails,,10 и более лет,8,4500,0,Киев,до 50 человек,Аутсорсинговая,мужской,29,Высшее,КНУ им. Шевченко,False,продвинутый,Веб-разработка,12/06/2017 13:07:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,8.0,4500,,DEV,1883.371034198599,3243.2009259259257
35,Senior Software Engineer,C#/.NET,,6,4,3620,300,Харьков,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,ХАИ,False,выше среднего,Веб-разработка,12/06/2017 13:08:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,4.0,3620,,DEV,1883.371034198599,3243.2009259259257
36,Junior Software Engineer,Java,,1,1,350,350,Ужгород,до 50 человек,Аутсорсинговая,мужской,26,Высшее,Другой вуз,False,выше среднего,,12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,1.0,350,,DEV,1883.371034198599,605.65859375
38,Software Engineer,C#/.NET,,4,меньше 3 месяцев,2300,400,Харьков,до 200 человек,Аутстаффинговая,мужской,26,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 13:08:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2300,,DEV,1883.371034198599,1678.630073800738
41,Junior Software Engineer,Swift,,3,1.5,450,150,Другой,до 10 человек,Продуктовая,мужской,27,Высшее,ХНУРЭ,False,ниже среднего,iOS,12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,450,,DEV,1883.371034198599,605.65859375
42,Senior Software Engineer,Java,,5,5,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Два высших,НАУ,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:09:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2500,,DEV,1883.371034198599,3243.2009259259257
43,Senior Software Engineer,Swift,,5,1,3230,380,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,НТУУ «КПИ»,False,выше среднего,iOS,12/06/2017 13:09:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3230,,DEV,1883.371034198599,3243.2009259259257
44,Software Engineer,PHP,,2,меньше 3 месяцев,1200,500,Киев,до 10 человек,Аутсорсинговая,мужской,23,Высшее,СумГУ,False,выше среднего,"Веб-разработка,Gamedev",12/06/2017 13:09:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1200,,DEV,1883.371034198599,1678.630073800738
45,Technical Lead,Perl,,6,4,3400,250,Киев,свыше 1000 человек,Аутстаффинговая,мужской,36,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Финансы и банки,12/06/2017 13:09:29,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,1;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",6.0,4.0,3400,,SDEV,1883.371034198599,3664.272
47,Senior Software Engineer,PHP,,5,1,3500,2000,Киев,до 10 человек,Продуктовая,мужской,21,Незаконченное высшее,НАУ,False,выше среднего,"Финансы и банки,Корпоративные системы",12/06/2017 13:09:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3500,,DEV,1883.371034198599,3243.2009259259257
48,Junior Software Engineer,Ruby/Rails,,0.5,0.5,350,150,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,,DEV,1883.371034198599,605.65859375
53,Technical Lead,C++,,10 и более лет,4,4500,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,35,Высшее,КНУ им. Шевченко,False,продвинутый,Мультимедиа,12/06/2017 13:09:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,4.0,4500,,SDEV,1883.371034198599,3664.272
54,Software Engineer,C#/.NET,,5,2,450,150,Другой,до 200 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,ниже среднего,iOS,12/06/2017 13:09:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,450,,DEV,1883.371034198599,1678.630073800738
55,Technical Lead,PHP,,6,3,3000,500,Киев,до 10 человек,Аутстаффинговая,мужской,24,Высшее,НАУ,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:10:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,3.0,3000,,SDEV,1883.371034198599,3664.272
56,Software Engineer,C#/.NET,,6,6,2550,150,Киев,до 1000 человек,Продуктовая,мужской,35,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 13:10:04,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",6.0,6.0,2550,,DEV,1883.371034198599,1678.630073800738
57,Software Engineer,C#/.NET,,6,4,1000,200,Житомир,до 10 человек,Продуктовая,мужской,29,Высшее,ЖГТУ,False,средний,"Desktop Applications,Корпоративные системы",12/06/2017 13:10:07,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063",6.0,4.0,1000,,DEV,1883.371034198599,1678.630073800738
58,Software Engineer,PHP,,3,1.5,1800,500,Киев,до 200 человек,Продуктовая,мужской,25,Высшее,Другой вуз,False,средний,Корпоративные системы,12/06/2017 13:10:14,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,1800,,DEV,1883.371034198599,1678.630073800738
59,Software Engineer,Ruby/Rails,,2,1.5,2850,850,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,12/06/2017 13:10:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,2850,,DEV,1883.371034198599,1678.630073800738
60,Software Engineer,JavaScript,,3,3,1100,200,Запорожье,до 50 человек,Аутсорсинговая,мужской,23,Высшее,ЗНТУ,False,ниже среднего,Веб-разработка,12/06/2017 13:10:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1100,,DEV,1883.371034198599,1678.630073800738
61,Junior Software Engineer,JavaScript,,1,10 и более лет,700,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,40,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,10.0,700,,DEV,1883.371034198599,605.65859375
63,Senior Software Engineer,Scala,,4,меньше 3 месяцев,3400,1600,Киев,до 200 человек,Аутстаффинговая,мужской,26,Высшее,НАУ,False,выше среднего,Другое,12/06/2017 13:10:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,3400,,DEV,1883.371034198599,3243.2009259259257
64,Senior Software Engineer,Java,,7,4,4000,500,Харьков,до 200 человек,Аутсорсинговая,мужской,34,Высшее,ХНУРЭ,False,продвинутый,"Финансы и банки,eCommerce",12/06/2017 13:10:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,4.0,4000,,DEV,1883.371034198599,3243.2009259259257
66,Senior Software Engineer,Java,,5,4,2390,1000,Львов,свыше 1000 человек,Аутсорсинговая,мужской,29,Незаконченное высшее,Другой вуз,False,средний,Android,12/06/2017 13:11:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,4.0,2390,,DEV,1883.371034198599,3243.2009259259257
67,Software Engineer,PHP,,3,3,700,200,Винница,до 10 человек,Аутсорсинговая,мужской,22,Высшее,ДонНУ,True,ниже среднего,Веб-разработка,12/06/2017 13:11:10,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",3.0,3.0,700,,DEV,1883.371034198599,1678.630073800738
69,Software Engineer,Python,,1.5,0.5,900,900,Киев,до 10 человек,Стартап,мужской,21,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,Веб-разработка,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,,DEV,1883.371034198599,1678.630073800738
70,Software Engineer,C#/.NET,,3,3,1875,400,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,12/06/2017 13:11:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,3.0,1875,,DEV,1883.371034198599,1678.630073800738
72,Senior Software Engineer,JavaScript,,3,2,2300,500,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,КНЭУ,False,средний,Веб-разработка,12/06/2017 13:11:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2300,,DEV,1883.371034198599,3243.2009259259257
74,Software Engineer,C++,,2,0.5,1700,950,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,НТУУ «КПИ»,False,средний,Мультимедиа,12/06/2017 13:11:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1700,,DEV,1883.371034198599,1678.630073800738
75,Junior Software Engineer,PHP,,0.25,меньше 3 месяцев,230,58,Полтава,до 10 человек,Продуктовая,мужской,27,Техникум / Колледж,,False,ниже среднего,"Веб-разработка,Системное программирование",12/06/2017 13:11:42,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.25,0.0,230,,DEV,1883.371034198599,605.65859375
76,Senior Software Engineer,Swift,,6,0.25,4000,0,Львов,до 10 человек,Продуктовая,мужской,25,Высшее,Львовская Политехника,False,выше среднего,iOS,12/06/2017 13:11:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,0.25,4000,,DEV,1883.371034198599,3243.2009259259257
77,Senior Software Engineer,JavaScript,,5,3,4400,800,Киев,до 10 человек,Аутстаффинговая,мужской,26,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:11:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,4400,,DEV,1883.371034198599,3243.2009259259257
79,Software Engineer,JavaScript,,2,1.5,500,100,Киев,до 10 человек,Стартап,мужской,25,Высшее,КНУТД,False,средний,Веб-разработка,12/06/2017 13:11:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.5,500,,DEV,1883.371034198599,1678.630073800738
80,Senior Software Engineer,JavaScript,,6,1,3800,300,Удаленно,до 10 человек,Стартап,мужской,25,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 13:12:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,3800,,DEV,1883.371034198599,3243.2009259259257
83,Junior Software Engineer,JavaScript,,0.5,0.5,300,100,Львов,до 10 человек,Аутсорсинговая,мужской,17,Среднее,,False,средний,Веб-разработка,12/06/2017 13:12:05,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,300,,DEV,1883.371034198599,605.65859375
84,Senior Software Engineer,Java,,8,1,3000,500,Одесса,до 10 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,средний,Другое,12/06/2017 13:12:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,3000,,DEV,1883.371034198599,3243.2009259259257
85,Junior Software Engineer,C,,2,1,400,0,Харьков,до 10 человек,Аутсорсинговая,мужской,26,Высшее,ХНУРЭ,False,средний,Embedded,12/06/2017 13:12:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,400,,DEV,1883.371034198599,605.65859375
86,Senior Software Engineer,JavaScript,,6,0.5,4500,1200,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,КНУ им. Шевченко,False,выше среднего,Веб-разработка,12/06/2017 13:12:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",6.0,0.5,4500,,DEV,1883.371034198599,3243.2009259259257
88,Junior Software Engineer,Python,,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,,DEV,1883.371034198599,605.65859375
89,Software Engineer,Swift,,2,1,1600,200,Львов,до 200 человек,Аутсорсинговая,мужской,22,Высшее,Львовская Политехника,True,средний,iOS,12/06/2017 13:12:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1600,,DEV,1883.371034198599,1678.630073800738
91,Senior Software Engineer,Ruby/Rails,,4,4,2800,400,Днепр,до 50 человек,Аутсорсинговая,мужской,35,Высшее,Другой вуз,False,средний,"Веб-разработка,Финансы и банки",12/06/2017 13:12:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,2800,,DEV,1883.371034198599,3243.2009259259257
92,Junior Software Engineer,C#/.NET,,1,1,1000,400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,33,Высшее,ЗНТУ,False,продвинутый,Веб-разработка,12/06/2017 13:12:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1000,,DEV,1883.371034198599,605.65859375
93,Software Engineer,PHP,,3,2,1500,600,Днепр,до 200 человек,Аутсорсинговая,женский,29,Высшее,Другой вуз,False,выше среднего,eCommerce,12/06/2017 13:12:40,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6 Build/NBD92G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",3.0,2.0,1500,,DEV,1883.371034198599,1678.630073800738
94,Senior Software Engineer,Ruby/Rails,,10 и более лет,0.5,4200,1800,Киев,до 1000 человек,Аутстаффинговая,мужской,32,Высшее,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:12:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,4200,,DEV,1883.371034198599,3243.2009259259257
95,Software Engineer,JavaScript,,4,0.5,1700,300,Харьков,до 1000 человек,Аутсорсинговая,мужской,27,Техникум / Колледж,,False,средний,Веб-разработка,12/06/2017 13:12:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.5,1700,,DEV,1883.371034198599,1678.630073800738
96,Junior Software Engineer,JavaScript,,0.5,0.5,640,0,Киев,до 50 человек,Аутсорсинговая,мужской,29,Высшее,НТУ «ХПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",0.5,0.5,640,,DEV,1883.371034198599,605.65859375
98,Software Engineer,Java,,2,1,1200,400,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Высшее,НАУ,True,средний,Embedded,12/06/2017 13:12:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,1.0,1200,,DEV,1883.371034198599,1678.630073800738
99,Software Engineer,JavaScript,,4,0.5,2600,1800,Киев,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,НУПТ,False,средний,Веб-разработка,12/06/2017 13:12:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3125.0 Safari/537.36",4.0,0.5,2600,,DEV,1883.371034198599,1678.630073800738
